<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,60,20190114,180000,67.2348000,67.2912000,67.0861000,67.1741000,39431
USDRUB,60,20190114,190000,67.1741000,67.2144000,67.0733000,67.1781000,34073
USDRUB,60,20190114,200000,67.1770000,67.2413000,67.0978000,67.1906000,35452
USDRUB,60,20190114,210000,67.1910000,67.2192000,66.9997000,67.0336000,38530
USDRUB,60,20190114,220000,67.0585000,67.0738000,66.9050000,66.9922000,45325
USDRUB,60,20190114,230000,66.9922000,67.0309000,66.8755000,67.0048000,29769
USDRUB,60,20190115,000000,67.0048000,67.0263000,66.9027000,67.0061000,9309
USDRUB,60,20190115,010000,67.0058000,67.0238000,66.9260000,67.0118000,7781
USDRUB,60,20190115,020000,67.0118000,67.0836000,66.9675000,67.0480000,11540
USDRUB,60,20190115,030000,67.0480000,67.0754000,66.8491000,66.9800000,8362
USDRUB,60,20190115,040000,66.9712000,67.0583000,66.9656000,67.0565000,1305
USDRUB,60,20190115,050000,67.0005000,67.0746000,66.9560000,67.0201000,101
USDRUB,60,20190115,060000,67.0149000,67.2626000,66.9102000,67.0005000,789
USDRUB,60,20190115,070000,67.0127000,67.0256000,66.9695000,66.9699000,210
USDRUB,60,20190115,080000,67.0262000,67.0423000,66.9699000,67.0140000,1675
USDRUB,60,20190115,090000,67.0140000,67.0511000,66.9752000,67.0101000,1645
USDRUB,60,20190115,100000,67.0361000,67.0434000,66.9277000,66.9664000,1568
USDRUB,60,20190115,110000,67.0098000,67.0515000,66.8146000,66.9488000,2308
USDRUB,60,20190115,120000,66.9725000,66.9998000,66.8682000,66.8916000,1993
USDRUB,60,20190115,130000,66.9237000,67.0043000,66.8848000,66.9505000,2387
USDRUB,60,20190115,140000,66.9761000,67.1316000,66.9500000,67.0929000,43260
USDRUB,60,20190115,150000,67.0732000,67.1190000,66.9575000,67.0873000,54747
USDRUB,60,20190115,160000,67.0675000,67.1397000,67.0117000,67.0964000,57803
USDRUB,60,20190115,170000,67.1133000,67.1389000,67.0193000,67.0354000,46487
USDRUB,60,20190115,180000,67.0838000,67.0994000,66.9827000,67.0918000,43093
USDRUB,60,20190115,190000,67.0740000,67.1344000,67.0069000,67.0636000,39660
USDRUB,60,20190115,200000,67.0786000,67.1133000,66.9450000,67.0063000,38687
USDRUB,60,20190115,210000,67.0055000,67.0609000,66.8817000,66.9851000,41660
USDRUB,60,20190115,220000,66.9851000,67.0244000,66.8355000,66.9221000,43877
USDRUB,60,20190115,230000,66.9221000,67.0422000,66.8327000,66.9953000,28260
USDRUB,60,20190116,000000,66.9953000,67.0313000,66.9036000,67.0218000,10802
USDRUB,60,20190116,010000,67.0253000,67.0367000,66.9200000,66.9797000,13442
USDRUB,60,20190116,020000,66.9812000,67.0343000,66.9190000,66.9657000,14931
USDRUB,60,20190116,030000,66.9729000,67.1120000,66.9065000,66.9527000,10085
USDRUB,60,20190116,040000,66.9527000,67.1193000,66.9527000,67.0640000,1655
USDRUB,60,20190116,050000,67.0265000,67.1340000,66.9470000,67.1008000,514
USDRUB,60,20190116,060000,67.1072000,67.1295000,66.9660000,66.9685000,304
USDRUB,60,20190116,070000,66.9685000,67.0335000,66.9359000,66.9680000,275
USDRUB,60,20190116,080000,67.0212000,67.0948000,66.9451000,66.9510000,1074
USDRUB,60,20190116,090000,67.0279000,67.0725000,66.9437000,67.0065000,707
USDRUB,60,20190116,100000,67.0152000,67.0438000,66.9428000,66.9935000,164
USDRUB,60,20190116,110000,67.0073000,67.0295000,66.9438000,66.9515000,772
USDRUB,60,20190116,120000,66.9479000,66.9985000,66.9427000,66.9715000,971
USDRUB,60,20190116,130000,66.9715000,66.9992000,66.8769000,66.9360000,1824
USDRUB,60,20190116,140000,66.9500000,66.9788000,66.6961000,66.7802000,44245
USDRUB,60,20190116,150000,66.7797000,66.7802000,66.5708000,66.6050000,59260
USDRUB,60,20190116,160000,66.6532000,66.7680000,66.6030000,66.7376000,42239
USDRUB,60,20190116,170000,66.7374000,66.7814000,66.6603000,66.7760000,37015
USDRUB,60,20190116,180000,66.7766000,66.8121000,66.6940000,66.7800000,39808
USDRUB,60,20190116,190000,66.7800000,66.7841000,66.6253000,66.7088000,36761
USDRUB,60,20190116,200000,66.7089000,66.7188000,66.5454000,66.5936000,32562
USDRUB,60,20190116,210000,66.5939000,66.6021000,66.3597000,66.4755000,53865
USDRUB,60,20190116,220000,66.4769000,66.5331000,66.3801000,66.4224000,48639
USDRUB,60,20190116,230000,66.4415000,66.5103000,66.2526000,66.3022000,40244
USDRUB,60,20190117,000000,66.3163000,66.3788000,66.2325000,66.3463000,15915
USDRUB,60,20190117,010000,66.3488000,66.3538000,66.2535000,66.2771000,8335
USDRUB,60,20190117,020000,66.2913000,66.3170000,66.2185000,66.2947000,11376
USDRUB,60,20190117,030000,66.2947000,66.3680000,66.2507000,66.3266000,9379
USDRUB,60,20190117,040000,66.3237000,66.4197000,66.2696000,66.3994000,1889
USDRUB,60,20190117,050000,66.3415000,66.4149000,66.2932000,66.3422000,872
USDRUB,60,20190117,060000,66.3241000,66.7227000,66.2528000,66.3555000,1182
USDRUB,60,20190117,070000,66.3140000,66.5178000,66.3065000,66.3508000,1348
USDRUB,60,20190117,080000,66.3629000,66.4241000,66.3065000,66.3290000,1404
USDRUB,60,20190117,090000,66.3641000,66.4221000,66.3089000,66.3859000,880
USDRUB,60,20190117,100000,66.3707000,66.3852000,66.2943000,66.3090000,435
USDRUB,60,20190117,110000,66.3273000,66.3660000,66.2440000,66.2527000,1467
USDRUB,60,20190117,120000,66.2527000,66.3105000,66.2228000,66.2530000,1208
USDRUB,60,20190117,130000,66.2829000,66.3706000,66.1845000,66.3599000,3163
USDRUB,60,20190117,140000,66.3477000,66.5051000,66.2950000,66.4451000,41830
USDRUB,60,20190117,150000,66.4446000,66.5284000,66.3731000,66.4477000,45977
