<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20190213,16:00:00,215.0100000,215.3300000,214.3100000,214.7300000,3345510
SBER,60,20190213,17:00:00,214.6800000,214.7000000,213.3100000,213.8700000,7967470
SBER,60,20190213,18:00:00,213.8400000,214.4000000,213.1000000,213.8400000,6458270
SBER,60,20190213,19:00:00,213.8800000,214.0900000,213.3000000,213.9000000,5752420
SBER,60,20190214,11:00:00,208.5000000,209.8500000,206.4100000,208.1100000,30254980
SBER,60,20190214,12:00:00,208.1400000,208.8500000,205.4100000,206.8700000,33568340
SBER,60,20190214,13:00:00,206.8900000,207.5200000,206.1000000,206.2000000,10376500
SBER,60,20190214,14:00:00,206.2400000,207.3700000,206.1300000,207.2900000,4629160
SBER,60,20190214,15:00:00,207.2700000,207.9200000,206.7400000,207.1500000,5841590
SBER,60,20190214,16:00:00,207.1300000,207.4500000,205.6200000,205.6600000,9418870
SBER,60,20190214,17:00:00,205.6500000,205.9600000,203.0500000,203.2400000,24493600
SBER,60,20190214,18:00:00,203.2900000,204.5000000,201.7000000,204.3700000,23004280
SBER,60,20190214,19:00:00,204.3700000,205.0000000,203.3600000,204.4300000,13280490
SBER,60,20190215,11:00:00,205.9400000,208.4900000,205.5200000,207.8700000,27701140
SBER,60,20190215,12:00:00,207.9000000,208.0000000,206.4100000,207.2800000,13872150
SBER,60,20190215,13:00:00,207.2900000,208.2000000,206.9100000,207.7800000,5338060
SBER,60,20190215,14:00:00,207.7500000,208.2000000,207.1800000,207.9200000,5025030
SBER,60,20190215,15:00:00,207.9800000,208.3700000,207.4000000,207.4900000,2764230
SBER,60,20190215,16:00:00,207.4400000,207.7000000,207.0200000,207.6900000,2459290
SBER,60,20190215,17:00:00,207.6900000,208.5000000,207.5000000,208.4800000,4916770
SBER,60,20190215,18:00:00,208.4800000,209.0000000,207.5700000,207.7600000,9039660
SBER,60,20190215,19:00:00,207.7600000,208.1000000,207.3000000,208.0000000,7756310
SBER,60,20190218,11:00:00,208.7000000,209.7300000,204.9500000,206.9000000,16926440
SBER,60,20190218,12:00:00,206.8600000,207.2500000,205.3100000,206.0400000,10208020
SBER,60,20190218,13:00:00,206.0600000,206.2500000,203.2000000,203.4400000,17536120
SBER,60,20190218,14:00:00,203.5100000,204.6900000,203.2000000,203.9200000,7361250
SBER,60,20190218,15:00:00,204.1000000,204.9000000,204.0300000,204.5600000,3159190
SBER,60,20190218,16:00:00,204.5700000,205.2000000,203.5000000,203.6400000,7831470
SBER,60,20190218,17:00:00,203.6900000,204.4800000,203.5300000,204.2900000,5403370
SBER,60,20190218,18:00:00,204.2500000,204.7000000,204.1200000,204.6800000,2407470
SBER,60,20190218,19:00:00,204.6700000,204.6700000,204.0700000,204.1900000,5535320
SBER,60,20190219,11:00:00,203.6000000,205.1000000,202.6700000,204.5900000,10562390
SBER,60,20190219,12:00:00,204.5900000,205.6000000,203.8600000,204.6100000,10338720
SBER,60,20190219,13:00:00,204.6400000,204.9000000,203.1100000,204.1500000,4487940
SBER,60,20190219,14:00:00,204.1200000,204.6000000,203.5300000,204.3700000,3937620
SBER,60,20190219,15:00:00,204.3100000,204.5000000,203.3000000,203.5500000,4811760
SBER,60,20190219,16:00:00,203.5400000,204.0300000,203.3500000,203.5300000,2305100
SBER,60,20190219,17:00:00,203.5300000,203.6100000,201.1000000,201.5600000,13942450
SBER,60,20190219,18:00:00,201.6100000,202.7700000,201.4000000,202.2500000,8592000
SBER,60,20190219,19:00:00,202.2200000,202.6400000,201.6800000,202.0800000,7650350
SBER,60,20190220,11:00:00,203.9000000,205.7300000,203.5000000,205.4500000,14568880
SBER,60,20190220,12:00:00,205.5100000,206.1300000,204.6300000,205.0700000,14083810
SBER,60,20190220,13:00:00,205.0300000,205.2500000,203.5100000,204.0800000,6964580
SBER,60,20190220,14:00:00,204.0400000,204.7000000,203.5400000,203.9400000,3367670
SBER,60,20190220,15:00:00,203.9200000,204.6000000,203.2300000,204.5700000,4104440
SBER,60,20190220,16:00:00,204.5700000,205.5000000,204.0000000,205.2500000,7106190
SBER,60,20190220,17:00:00,205.2500000,205.4000000,204.8000000,204.9000000,2626810
SBER,60,20190220,18:00:00,204.8800000,205.9000000,204.6100000,205.6700000,5482900
SBER,60,20190220,19:00:00,205.6800000,206.8900000,205.5000000,206.8900000,8308930
SBER,60,20190221,11:00:00,207.5600000,207.8400000,205.8500000,207.5200000,9837520
SBER,60,20190221,12:00:00,207.5100000,207.8700000,205.8900000,205.9000000,7359990
SBER,60,20190221,13:00:00,205.9000000,206.4000000,204.4500000,204.7200000,10603140
SBER,60,20190221,14:00:00,204.7500000,204.8200000,203.1500000,204.1400000,9526560
